,keys,values
37,Unbreakable,"['Blast from the Past', 'The Crow', 'Batman Begins', 'White Noise', 'Star Wars: Episode VI - Return of the Jedi', 'The Grudge', 'Magnolia', 'Mystery Men', 'Elf', 'Two for the Money', 'What Happens in Vegas', 'The Incredibles', 'Parenthood', 'Hellboy II: The Golden Army', 'Bridge to Terabithia', 'Ghoulies', 'Heart and Souls', 'Hook', 'Yankee Doodle Dandy', 'Possession', 'Men in Black', 'Son of Rambow', 'X-Men', 'A Bronx Tale', 'Me and You and Everyone We Know', 'Big Fish', ""The Devil's Advocate"", 'City by the Sea', 'Knockaround Guys', 'Batman Returns', 'Unbreakable', 'Ghost Busters', 'Spider-Man', 'Catwoman', 'The Mask of Zorro', 'In the Name of the Father', 'Nochnoy dozor', 'Superman', 'Indiana Jones and the Last Crusade', 'The Three Musketeers', 'The Dark Knight', 'Superman II', ""La marche de l'empereur""]"
38,The Lord of the Rings: The Fellowship of the Ring,"['The Lord of the Rings: The Return of the King', 'Santa Claus', 'The Ring', 'The Golden Compass', 'Elf', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers']"
39,Hart's War,"['Dark Blue', 'The Hoax', 'Blazing Saddles', ""Hart's War"", 'Battle of the Bulge', 'Midnight Express', 'Hustle & Flow', 'Paid in Full']"
40,Dog Soldiers,"['Hudson Hawk', 'The Hand That Rocks the Cradle', 'Chicken Run', 'Evil Dead II', 'The Queen', 'The Whole Ten Yards', ""The Emperor's New Groove"", 'Ever After', 'Dog Soldiers', 'Enter the Dragon', 'The Mummy Returns', 'Return to Oz', 'Red Sonja', 'Slither', 'Honey', 'Disclosure', 'Lock, Stock and Two Smoking Barrels']"
41,The Lord of the Rings: The Two Towers,"['Harry Potter and the Chamber of Secrets', ""The Astronaut's Wife"", ""Harry Potter and the Sorcerer's Stone"", 'Harry Potter and the Prisoner of Azkaban', 'The Lord of the Rings: The Return of the King', 'The Ring', 'The Wiz', 'Harold & Kumar Go to White Castle', 'Hauru no ugoku shiro', 'Secrets & Lies', 'Dragonslayer', 'The Wizard of Oz', 'Harry Potter and the Goblet of Fire', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Fellowship of the Ring']"
42,Tears of the Sun,"['Outland', 'Blood Diamond', 'The Birth of a Nation', 'Resident Evil: Apocalypse', 'Gojira ni-sen mireniamu', 'The General', 'Tears of the Sun', 'Lara Croft Tomb Raider: The Cradle of Life', 'Akahige', 'Gettysburg', 'Il buono, il brutto, il cattivo.', ""Lorenzo's Oil"", 'Gone in Sixty Seconds', 'Arachnophobia']"
43,X2,"['X2', 'The Thing', 'Galaxy Quest']"
44,Hudson Hawk,"['Chicken Run', 'Videodrome', 'Mulholland Dr.', 'Eraserhead', 'Lost Highway', 'The Mummy Returns', 'The Limey', 'Disclosure', 'Sånger från andra våningen', 'Edward Scissorhands', 'Ever After', 'Stay', 'L.A. Story', 'The Whole Ten Yards', 'El ángel exterminador', 'Dog Soldiers', 'Kalifornia', 'Return to Oz', 'The Score', 'Hudson Hawk', 'Take the Money and Run', 'The Hand That Rocks the Cradle', ""The Emperor's New Groove"", 'Vabank', 'Red Sonja', 'Donnie Darko']"
45,The Last Boy Scout,"['48 Hrs.', 'Presumed Innocent', 'The Last Boy Scout', 'Mou gaan dou', 'Brick', 'Manhunter', 'In the Line of Fire', 'Jagged Edge', 'L.A. Confidential', 'The Man Who Knew Too Much', 'Kiss Kiss Bang Bang', 'No Way Out', 'Reservoir Dogs', 'Minority Report', 'Taxi Driver', ""Don't Say a Word"", ""Miller's Crossing"", 'Chinatown', 'The Thirteenth Floor', 'Last Man Standing', 'Oldeuboi', ""The Man Who Wasn't There"", 'Taxi', 'Les rivières pourpres', 'The Return of the Pink Panther', 'Body Heat', 'Cowboy Bebop: Tengoku no tobira', 'Blood Simple.', 'Zero Effect', 'Salinui chueok', 'Pacific Heights', 'The Score', 'Dark City', 'Fallen', 'No Country for Old Men', 'Dark Blue', 'Malice', 'Sin City', 'Payback', 'Children of Men', 'Der amerikanische Freund']"
46,The Lord of the Rings: The Return of the King,"['Richard III', 'Henry V', 'Duel', 'The Darjeeling Limited', 'The Brave Little Toaster', 'Ran', 'Stagecoach', 'Army of Darkness', 'The Ring', 'Around the World in 80 Days', 'The Thin Red Line', '300', 'The 13th Warrior', 'Willow', 'The Lord of the Rings: The Return of the King', 'We Were Soldiers', 'The Golden Compass', 'Pokémon: The First Movie', 'The Lord of the Rings: The Fellowship of the Ring', 'Shogun Assassin', 'Shichinin no samurai', 'The Bucket List', 'The Lord of the Rings: The Two Towers']"
47,Hostage,"['American Graffiti', 'Mou gaan dou', 'Joe Dirt', 'The Taking of Pelham One Two Three', 'Mississippi Burning', 'The Ref', 'The Cable Guy', 'Proof of Life', 'Blind Fury', 'The Aviator', 'Dip huet seung hung', '3 Men and a Baby', 'Hannibal', 'Firewall', 'American Gangster', 'The Birds', 'Crumb', 'Of Mice and Men', 'Young Sherlock Holmes', 'Alien Nation', 'Funny Games U.S.', 'Papurika', 'Insomnia', 'Bad Boys II', 'Jay and Silent Bob Strike Back', 'Inside Man', 'Bean', 'Serpico', 'Hot Fuzz', ""'Crocodile' Dundee II"", 'Die Hard', 'Banlieue 13', 'The Departed', 'Salinui chueok', 'Cellular', 'Judge Dredd', 'Lethal Weapon', 'Playing by Heart', 'RoboCop', 'The Mask of Zorro', 'Toy Soldiers', 'Police Academy', 'E.T.: The Extra-Terrestrial', 'Thunderbirds', 'Fracture', 'Police Academy 3: Back in Training', 'Hostage', 'Showtime', 'John Q', 'S.W.A.T.', 'The Mexican', 'Sideways', 'Phone Booth']"
48,Sin City,"['48 Hrs.', 'The Day the Earth Stood Still', 'Presumed Innocent', 'The Last Boy Scout', 'Mou gaan dou', 'Brick', 'Mystery Men', 'Manhunter', 'Jagged Edge', 'L.A. Confidential', 'Kiss Kiss Bang Bang', 'No Way Out', 'Reservoir Dogs', 'Minority Report', 'Fools Rush In', 'Ils', 'Taxi Driver', ""Don't Say a Word"", ""Miller's Crossing"", 'Tsubaki Sanjûrô', 'Chinatown', 'The Thirteenth Floor', 'Last Man Standing', 'American Splendor', 'Oldeuboi', ""The Man Who Wasn't There"", 'Taxi', 'Serpico', 'Les rivières pourpres', '...And Justice for All.', 'Body Heat', 'Cowboy Bebop: Tengoku no tobira', 'Blood Simple.', 'Zero Effect', 'Salinui chueok', 'Pacific Heights', 'The Score', 'Dark City', 'Fallen', 'No Country for Old Men', 'Dark Blue', 'Syriana', 'Malice', 'Sin City', 'Touch of Evil', 'Payback', 'Children of Men', 'Der amerikanische Freund']"
49,Danny the Dog,"['The Fabulous Baker Boys', 'Richard III', 'Old Yeller', 'Wallace & Gromit: The Best of Aardman Animation', 'A Boy and His Dog', 'How the Grinch Stole Christmas', 'Night at the Museum', 'Beethoven', 'Primal Fear', 'Annie', 'The Brave One', 'Stalker', 'Lady and the Tramp', 'Catch Me If You Can', 'The Accidental Tourist', 'Best in Show', 'Homeward Bound: The Incredible Journey', 'Les triplettes de Belleville', 'Major League', 'The Living Daylights', 'The Butterfly Effect', 'Slaughterhouse-Five', 'Wallace & Gromit in The Wrong Trousers', 'One Hundred and One Dalmatians', 'Intolerable Cruelty', 'View from the Top', 'They Died with Their Boots On', 'Charade', 'Pacific Heights', 'Road to Perdition', 'Legends of the Fall', ""You've Got Mail"", 'Father of the Bride Part II', 'The Neverending Story II: The Next Chapter', 'Finding Neverland', 'Danny the Dog', 'Kagemusha', 'The Wiz', 'King Arthur', 'Balto', 'Must Love Dogs', 'Wallace & Gromit in The Curse of the Were-Rabbit', 'The Mexican', 'Chicken Little']"
50,Star Wreck: In the Pirkinning,"['Mystery Science Theater 3000: The Movie', 'Sister Act', 'Be Cool', 'Narc', 'Little Voice', 'Great Expectations', 'Gentlemen Prefer Blondes', 'Ray', 'Mars Attacks!', 'Star Wreck: In the Pirkinning', 'Beyond the Sea', 'The Phantom of the Opera']"
51,Over the Hedge,"['Nell', 'Legend', 'Hotaru no haka', 'Mononoke-hime', 'Darkness', 'Over the Hedge', 'Yin shi nan nu', 'Como agua para chocolate', 'Chocolat', 'Soylent Green', 'Dersu Uzala', 'Tampopo']"
52,Pirates of the Caribbean: Dead Man's Chest,"['Gwoemul', 'Strictly Ballroom', ""Dead Man's Shoes"", ""Ocean's Thirteen"", 'The Count of Monte Cristo', 'Kickboxer', 'Cape Fear', 'The Cable Guy', 'Chinjeolhan geumjassi', ""Bill & Ted's Excellent Adventure"", 'The Godfather: Part II', ""The Devil's Rejects"", 'Patriot Games', 'Young Sherlock Holmes', 'Seppuku', 'El espinazo del diablo', 'Addicted to Love', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Oldeuboi', 'The Outlaw Josey Wales', 'The Hills Have Eyes II', 'Get Carter', 'Batman Returns', 'The Quick and the Dead', 'High Plains Drifter', 'Kill Bill: Vol. 2', ""Pirates of the Caribbean: Dead Man's Chest"", 'Revenge of the Nerds II: Nerds in Paradise', 'The Fog', 'Léon', 'The Searchers', 'Payback', ""Bill & Ted's Bogus Journey"", 'Star Trek: The Wrath of Khan', 'Unforgiven']"
53,Sense and Sensibility,"['Striptease', 'Harry Potter and the Prisoner of Azkaban', 'The Witches', 'The Last of the Mohicans', 'Noel', 'The Grapes of Wrath', 'The Hunchback of Notre Dame', 'Little Women', 'House of Sand and Fog', 'Red Dragon', 'The Man Who Fell to Earth', 'Doctor Dolittle', 'Die Blechtrommel', 'Mutiny on the Bounty', 'Shaft', 'Kumonosu-jô', 'Forrest Gump', 'Catch-22', 'Murder on the Orient Express', 'The Bone Collector', 'Delicatessen', 'Terms of Endearment', 'Waking the Dead', 'Treasure Island', ""Harry Potter and the Sorcerer's Stone"", 'The Great Train Robbery', 'Dracula', 'The Railway Children', 'Chitty Chitty Bang Bang', 'The Night Listener', 'Emma', 'Gone with the Wind', 'There Will Be Blood', 'Sense and Sensibility', 'Lolita', 'Cold Mountain', 'Midnight Cowboy', 'Blood Work', 'Payback', ""The Making of 'Along Came a Spider'"", 'Jumper', 'James and the Giant Peach', 'Family Plot', 'Fahrenheit 451', 'Leaving Las Vegas', 'Naked Lunch', 'To Kill a Mockingbird']"
54,La cité des enfants perdus,"['El orfanato', 'La cité des enfants perdus', 'Annie', 'El espinazo del diablo']"
55,Richard III,"['The Fabulous Baker Boys', 'Richard III', 'Old Yeller', 'Henry V', 'Wallace & Gromit: The Best of Aardman Animation', 'Duel', 'Driving Miss Daisy', 'Grumpy Old Men', 'A Boy and His Dog', 'How the Grinch Stole Christmas', 'Key Largo', 'Beethoven', 'Ran', 'Annie', 'The Brave One', 'Stalker', 'Lady and the Tramp', 'Kind Hearts and Coronets', 'Army of Darkness', 'The Accidental Tourist', 'Best in Show', 'La vita è bella', 'Homeward Bound: The Incredible Journey', 'Les triplettes de Belleville', 'The Thin Red Line', 'Major League', '300', 'The 13th Warrior', 'The Butterfly Effect', ""Widows' Peak"", 'Slaughterhouse-Five', 'Wallace & Gromit in The Wrong Trousers', 'The Lord of the Rings: The Return of the King', 'One Hundred and One Dalmatians', 'Tank Girl', 'We Were Soldiers', 'Private Benjamin', 'Pokémon: The First Movie', 'Legends of the Fall', ""You've Got Mail"", 'Road to Perdition', 'Father of the Bride Part II', 'Finding Neverland', 'Danny the Dog', 'The Wiz', 'King Arthur', 'Balto', 'Shichinin no samurai', 'Must Love Dogs', 'Wallace & Gromit in The Curse of the Were-Rabbit', 'Hello, Dolly!', 'The Mexican', 'Chicken Little', 'V for Vendetta']"
56,Antonia,"['Simon', 'White Noise', 'Rugrats in Paris: The Movie - Rugrats II', 'Charlotte Gray', 'Little Women', 'Elling', 'Johnny English', 'Mr. Deeds', 'Parenthood', 'Mickey Blue Eyes', 'Awakenings', 'Ever After', 'Point Break', 'THX 1138', 'Divine Secrets of the Ya-Ya Sisterhood', 'Michael Clayton', 'La pianiste', 'How to Make an American Quilt', 'Radio', 'Zoolander', 'The Guru', 'Mildred Pierce', 'Terms of Endearment', 'Alex & Emma', 'Titus', 'Nell', 'The One', 'Harold & Kumar Go to White Castle', 'Monsoon Wedding', 'Antwone Fisher', 'Antonia', 'Marie Antoinette', 'The Omen', 'Broadway Danny Rose', 'Not Without My Daughter', 'Control Room', 'Roger Dodger', 'Freaky Friday', 'Norbit', ""Born Into Brothels: Calcutta's Red Light Kids"", 'Little Voice', ""Microcosmos: Le peuple de l'herbe"", 'To Wong Foo Thanks for Everything, Julie Newmar', 'Tupac: Resurrection', 'Ned Kelly', 'Drop Dead Fred']"
57,Bottle Rocket,"['Jalla! Jalla!', 'Reality Bites', 'The Importance of Being Earnest', 'Meet Me in St. Louis', 'Without a Paddle', 'Vacancy', 'Frenzy', 'Noel', 'The Thing Called Love', 'Moonstruck', 'Mission to Mars', 'Chain Reaction', 'Como agua para chocolate', 'The Notebook', 'Gothika', 'Untamed Heart', 'Swingers', 'Romeo + Juliet', 'Breaking the Waves', 'Shooter', ""The Devil's Rejects"", 'Legend', 'White Palace', 'Ghost', 'Of Mice and Men', 'Awakenings', 'Pierrot le fou', 'Love Actually', 'The Fountain', 'Enemy of the State', 'The Shawshank Redemption', 'Abre los ojos', 'The Butterfly Effect', 'The Outlaw Josey Wales', 'The Boys in the Band', 'Three Days of the Condor', 'Cinderella Man', 'The Fugitive', 'Benny & Joon', 'Meet Joe Black', 'Indecent Proposal', 'Psycho', 'Othello', 'Punch-Drunk Love', 'La jetée', 'Identity', 'Il postino', 'Serenity', 'The Odd Couple', 'The 39 Steps', 'North by Northwest', 'Saving Silverman', 'Practical Magic', 'The Blues Brothers', 'Fletch', 'Witness', 'August Rush', 'Deliverance', 'Tape', 'Keeping the Faith', 'The Deer Hunter', 'A Home at the End of the World', 'Sien nui yau wan', 'Win a Date with Tad Hamilton!', 'Splash', 'Stuck on You', 'Bottle Rocket']"
58,Taxi Driver,"['48 Hrs.', 'Collateral', 'Presumed Innocent', 'The Last Boy Scout', 'Mou gaan dou', 'Brick', 'Manhunter', 'Jagged Edge', 'L.A. Confidential', 'Kiss Kiss Bang Bang', 'No Way Out', 'Reservoir Dogs', 'Minority Report', 'Taxi Driver', ""Don't Say a Word"", ""Miller's Crossing"", 'Tsotsi', 'Chinatown', 'The Thirteenth Floor', 'Last Man Standing', 'The Station Agent', 'Oldeuboi', ""The Man Who Wasn't There"", 'Taxi', 'Les rivières pourpres', 'The Fifth Element', 'Body Heat', 'Cowboy Bebop: Tengoku no tobira', 'Blood Simple.', 'Zero Effect', 'Salinui chueok', 'Pacific Heights', 'The Score', 'Dark City', 'Fallen', 'No Country for Old Men', 'Dark Blue', 'Malice', 'Sin City', 'Conspiracy Theory', 'Taxi 3', 'Payback', 'Children of Men', 'Der amerikanische Freund']"
59,Apollo 13,"[""The Astronaut's Wife"", ""Carlito's Way"", 'Gwoemul', 'Cast Away', 'Event Horizon', 'The Last King of Scotland', 'Almost Famous', 'Mission to Mars', 'Apollo 13', 'Men with Brooms', 'The Pianist', 'Tigerland', 'Executive Decision', 'Now and Then', 'The Guardian', 'The Right Stuff', 'For All Mankind', 'Star Wars: Episode V - The Empire Strikes Back', 'Red Planet', 'Saturday Night Fever', 'Private Parts', 'Commando', 'Maid in Manhattan', 'Jimmy Neutron: Boy Genius', 'Ali', 'One Hundred and One Dalmatians', 'Hotaru no haka', 'In & Out', 'Moonraker', 'War of the Worlds', 'Who the #$&% Is Jackson Pollock?', 'Breakfast on Pluto', 'The Warriors', 'Starsky & Hutch', 'The Virgin Suicides', 'Labyrinth', 'The Brady Bunch Movie', 'Fear and Loathing in Las Vegas', 'Solyaris', 'Antz', 'Sunshine', 'Midnight Express', 'Space Cowboys', 'Armageddon', 'The Spy Who Loved Me', 'Beneath the Planet of the Apes', 'Boogie Nights', 'Thunderbirds', 'Alive', 'Remember the Titans']"
60,Crumb,"['American Graffiti', 'Bis ans Ende der Welt', 'Joe Dirt', 'The Aviator', 'Doctor Dolittle', 'The Birds', 'Crumb', 'Heart and Souls', 'Of Mice and Men', 'Bullitt', 'Star Trek IV: The Voyage Home', 'American Splendor', 'Bean', 'Sweet November', 'Playing by Heart', 'Butterflies Are Free', 'Zodiac', 'The Mask of Zorro', 'E.T.: The Extra-Terrestrial', 'Hostage', 'Sideways', 'Family Plot']"
61,Strange Days,"['Johnny Mnemonic', 'Demolition Man', 'National Security', 'Akira', 'Cube Zero', 'Papurika', 'eXistenZ', 'Artificial Intelligence: AI', 'Kôkaku kidôtai', 'Hackers', 'The Thirteenth Floor', 'Cypher', 'Innocence', 'Strange Days']"
62,Clerks.,"['Mallrats', 'Duma', 'Trois couleurs: Rouge', 'Todo sobre mi madre', 'Ed Wood', 'The Cable Guy', 'The Fisher King', 'The Iron Giant', 'Onegin', 'Dogma', 'Paradise Now', 'Hellboy II: The Golden Army', 'Bridge to Terabithia', 'One Fine Day', 'Lost in Translation', 'The Last Kiss', 'Dances with Wolves', 'Easy Rider', 'Good Will Hunting', 'Cidade dos Homens', 'Stand by Me', 'Jay and Silent Bob Strike Back', 'The Land Before Time', 'Friends with Money', 'Notting Hill', 'Fried Green Tomatoes', 'Harry Potter and the Order of the Phoenix', 'Knockaround Guys', 'The Family Stone', 'Beautiful Girls', 'Step Brothers', 'The Sisterhood of the Traveling Pants', '4 luni, 3 saptamâni si 2 zile', 'E.T.: The Extra-Terrestrial', 'Hitch', 'Mean Creek', 'Au revoir les enfants', 'Midnight Cowboy', 'Swing Kids', 'Dark Star', 'Rocky', 'Glory Road', 'Murder by Numbers', 'The Bucket List', 'Sling Blade', 'Clerks.', '11:14']"
63,Ed Wood,"['Living in Oblivion', 'S1m0ne', 'Duma', 'Ed Wood', 'Onegin', 'Paradise Now', 'Bridge to Terabithia', 'Edward Scissorhands', 'The Last Kiss', 'Major Payne', ""The World's Fastest Indian"", 'Good Will Hunting', 'The Queen', 'Seven Years in Tibet', 'Urban Legends: Final Cut', '4 luni, 3 saptamâni si 2 zile', 'Police Academy', 'Stripes', 'Clerks.']"
64,Star Wars,"['Shrek 2', 'Star Wars', 'Barbarella', 'Mononoke-hime', 'The Princess Bride', 'The Princess Diaries', 'Les misérables', 'The Princess Diaries 2: Royal Engagement', 'Kaze no tani no Naushika', 'Pleasantville', 'Bride & Prejudice', 'Aladdin', 'Super Mario Bros.']"
65,The Madness of King George,['The Madness of King George']
66,Prêt-à-Porter,"['Prêt-à-Porter', 'Caddyshack', 'One Hour Photo', 'Como agua para chocolate', 'Lucía y el sexo', 'Idioterne', 'Saw III', 'Timecop', 'Breaking the Waves', 'Crank', 'Clueless', 'The Women', 'Private Parts', 'The Libertine', '37°2 le matin', 'Le professionnel', 'Zoolander', 'Sabrina', 'The Sweet Hereafter', ""Something's Gotta Give"", 'Marie Antoinette', 'The Omen', 'Hatuna Meuheret', 'A History of Violence', 'Dr T and the Women', ""Le fabuleux destin d'Amélie Poulain"", 'The Dreamers', 'Police Academy 2: Their First Assignment', 'McCabe & Mrs. Miller', 'The Rules of Attraction', 'Amores Possíveis', 'Adaptation.', 'Saw IV', 'The Devil Wears Prada', 'Splash', 'Cat People']"
67,The Secret of Roan Inish,"['Local Hero', 'Underground', 'DysFunktional Family', 'Eulogy', 'White Noise', ""Ulee's Gold"", 'The Secret of Roan Inish', 'The Flintstones', 'Blow Dry', 'Yin shi nan nu', 'Tokyo Godfathers', 'RV', 'Addams Family Values', 'Failure to Launch', 'Mulan', 'The Color Purple', 'Hannah and Her Sisters', 'The Family Stone', 'Meet the Fockers', ""Charlotte's Web"", 'Mr. Blandings Builds His Dream House', 'The Joy Luck Club', 'Arizona Dream', 'The Boy Who Could Fly', 'Napoleon Dynamite', 'The Royal Tenenbaums']"
68,The Shawshank Redemption,"['Jalla! Jalla!', 'Without a Paddle', 'Stir Crazy', 'Capote', 'Dial M for Murder', 'Swingers', ""Buffalo '66"", 'American History X', 'Chicago', 'Kind Hearts and Coronets', 'Of Mice and Men', 'Bridget Jones: The Edge of Reason', 'Walk the Line', 'Down by Law', 'The Shawshank Redemption', 'Return to Paradise', 'Mean Machine', 'Welcome to Collinwood', 'The Boys in the Band', 'Cool Hand Luke', 'Cinderella Man', 'Chopper', 'The Great Escape', 'The Life of David Gale', 'The Odd Couple', 'Out of Sight', 'The Thin Blue Line', 'Take the Money and Run', 'In the Name of the Father', 'Saving Silverman', 'Escape from Alcatraz', ""Cat's Eye"", 'The Crow: Salvation', 'He Got Game', 'Deliverance', 'The Deer Hunter', 'A Home at the End of the World', 'Bottle Rocket']"
69,Tank Girl,"[""Muriel's Wedding"", 'Mad Max', 'Something to Talk About', 'Richard III', ""Nim's Island"", 'Scream', 'Mary Poppins', 'Tremors', 'Femme Fatale', 'A Boy and His Dog', 'Hoodwinked!', 'Gothika', 'Mad Max 2', 'Anastasia', 'Heathers', 'Lawrence of Arabia', ""Bill & Ted's Excellent Adventure"", 'Hidalgo', 'Repulsion', 'Memoirs of a Geisha', 'Boys on the Side', 'My Fair Lady', 'La vita è bella', 'Candyman: Farewell to the Flesh', 'THX 1138', 'Nine to Five', 'Pocahontas', 'Alien', 'Star Trek: The Wrath of Khan', 'Da hong deng long gao gao gua', 'Girl, Interrupted', 'Majo no takkyûbin', 'The Scorpion King', 'The Hills Have Eyes II', 'Ultraviolet', 'Fried Green Tomatoes', 'A Map of the World', 'Tank Girl', 'Snow White and the Seven Dwarfs', 'Zardoz', 'Persepolis', 'Alien³', 'Six-String Samurai', 'Kaze no tani no Naushika', ""Le fabuleux destin d'Amélie Poulain"", 'I Am Legend', 'Emma', 'The Mother', 'Pitch Black', 'Adventures in Babysitting', 'Not Without My Daughter', 'Woman on Top', 'Ghost World', 'Copycat', ""Smilla's Sense of Snow"", 'Prozac Nation', 'Buffy the Vampire Slayer', 'Lara Croft: Tomb Raider', 'No Country for Old Men', 'The Adventures of Priscilla, Queen of the Desert', 'Panic Room', 'The Next Karate Kid', 'Land of the Dead', 'Dune', 'One True Thing', 'Vanity Fair', 'The Time Machine', 'Mad Max Beyond Thunderdome', 'The Nanny Diaries', 'Carrie', 'The Matrix', ""Breakfast at Tiffany's"", ""Bill & Ted's Bogus Journey"", 'El orfanato', 'The Quiet Earth', 'The Last Unicorn']"
